day,hour_utc,actual_mw,in_80,in_90,pit,bias
2024-04-24,1,1147.8739120000002,1.0,1.0,0.622,54.15993920786309
2024-04-24,2,1253.3652550000002,1.0,1.0,0.784,199.8136721708447
2024-04-24,3,1207.4004189999998,0.0,1.0,0.908,314.8298389743941
2024-04-24,4,946.1665289999999,1.0,1.0,0.665,90.42463381556286
2024-04-24,5,896.966112,1.0,1.0,0.799,157.37427191666063
2024-04-24,6,782.3814339999999,1.0,1.0,0.625,60.52720981052926
2024-04-24,7,672.400076,1.0,1.0,0.346,-69.81358114537966
2024-04-24,8,720.8140649999999,1.0,1.0,0.385,-56.55503478672574
2024-04-24,9,1041.6242539999998,0.0,1.0,0.9,243.13469318848206
2024-04-24,10,958.9179870000002,1.0,1.0,0.681,89.065921888258
2024-04-24,11,1080.9071259999998,1.0,1.0,0.839,217.12822152347508
2024-04-24,12,927.3949700000001,1.0,1.0,0.593,50.55777365237918
2024-04-24,13,718.805057,1.0,1.0,0.148,-191.67949374361706
2024-04-24,14,1332.0540799999999,0.0,1.0,0.945,346.14039709183373
2024-04-24,15,1171.408549,1.0,1.0,0.661,88.32898046431887
2024-04-24,16,1059.627663,1.0,1.0,0.46,-22.511115203919644
2024-04-24,17,1084.154852,1.0,1.0,0.52,10.820401285710204
2024-04-24,18,1062.432391,1.0,1.0,0.491,-4.723030798995524
2024-04-24,19,1025.652711,1.0,1.0,0.419,-41.197986402999504
2024-04-24,20,1082.0652920000002,1.0,1.0,0.663,88.72498314100642
2024-04-24,21,1022.6781229999999,1.0,1.0,0.705,120.70584486818643
2024-04-24,22,748.4338169999999,1.0,1.0,0.255,-122.94182932524541
2024-04-24,23,925.3003180000001,1.0,1.0,0.565,35.411619563241516
2024-05-01,0,472.996684,1.0,1.0,0.39,-33.17785780346799
2024-05-01,1,530.505925,1.0,1.0,0.471,-10.329030754300334
2024-05-01,2,438.8422499999999,1.0,1.0,0.259,-86.4770615670144
2024-05-01,3,415.606803,1.0,1.0,0.439,-19.238538455141565
2024-05-01,4,292.40019100000006,1.0,1.0,0.412,-23.52986016603211
2024-05-01,5,244.015625,1.0,1.0,0.56,17.074648898614868
2024-05-01,6,244.87407100000001,1.0,1.0,0.555,14.005760716725888
2024-05-01,7,139.64630499999998,1.0,1.0,0.273,-54.84210292104473
2024-05-01,8,207.151609,1.0,1.0,0.552,15.534465670263472
