Time,Load,Solar (utility),BTM solar,Wind
2022-09-08 23:00:00+00:00,20831.214799999998,0.6787521734608952,4.54,0.1905272298829297
2022-09-09 00:00:00+00:00,20249.650400000002,0.0,0.0,0.46093159439562
2022-09-09 01:00:00+00:00,19191.203400000002,0.0,0.0,0.22198885700596016
2022-09-09 02:00:00+00:00,17894.4827,0.0,0.0,1.266521402810007
2022-09-09 03:00:00+00:00,16633.184,0.0,0.0,1.3645241537626098
2022-09-09 04:00:00+00:00,15635.004900000002,0.0,0.0,18.359398321570872
2022-09-09 05:00:00+00:00,14909.654499999999,0.0,0.0,29.596627748640113
2022-09-09 06:00:00+00:00,14439.078300000001,0.0,0.0,18.945020387068816
2022-09-09 07:00:00+00:00,14165.2201,0.0,0.0,32.44582108703887
2022-09-09 08:00:00+00:00,14181.7694,0.0,0.0,63.29239519002839
2022-09-09 09:00:00+00:00,14769.094500000001,0.0,0.0,45.63416678735164
2022-09-09 10:00:00+00:00,15903.425000000001,0.0,32.93,4.0262483451119655
2022-09-09 11:00:00+00:00,16815.9329,3.762477204220737,358.95,3.657991593621286
2022-09-09 12:00:00+00:00,17412.3896,15.980283013265204,1011.82,27.440456839872972
2022-09-09 13:00:00+00:00,17666.684400000002,24.648363631099677,1699.0,9.720100698179232
2022-09-09 14:00:00+00:00,17976.297300000002,75.38939890557157,2233.07,3.1081305305079745
2022-09-09 15:00:00+00:00,18325.0903,91.42217659484623,2496.04,3.3010589125072016
2022-09-09 16:00:00+00:00,18804.360699999997,102.28355554568188,2526.63,0.9108420551485422
2022-09-09 17:00:00+00:00,19433.5892,105.34655365232815,2457.44,0.30385024354391776
2022-09-09 18:00:00+00:00,19983.363299999997,99.99362634272123,2290.11,0.16609994207128614
2022-09-09 19:00:00+00:00,20670.191199999997,88.14273366540687,1906.61,1.3230990071092374
2022-09-09 20:00:00+00:00,21301.691600000002,68.47732913101656,1383.52,0.1020102827403844
2022-09-09 21:00:00+00:00,21628.7445,43.67024148345581,686.62,0.098187788573198
2022-09-09 22:00:00+00:00,21301.9202,18.453913897761737,155.72,0.6508081419204632
2022-09-09 23:00:00+00:00,20831.425499999998,0.234364293086968,1.76,1.7969495369844857
2022-09-10 00:00:00+00:00,20182.6064,0.0,0.0,5.73642608585793
2022-09-10 01:00:00+00:00,19149.9215,0.0,0.0,20.278062215258814
2022-09-10 02:00:00+00:00,17964.2535,0.0,0.0,25.202787527833912
2022-09-10 03:00:00+00:00,16793.1069,0.0,0.0,164.11645894833987
2022-09-10 04:00:00+00:00,15819.904199999999,0.0,0.0,280.68790283849955
2022-09-10 05:00:00+00:00,15093.9233,0.0,0.0,437.6488052305141
2022-09-10 06:00:00+00:00,14534.644000000002,0.0,0.0,482.98289830833926
2022-09-10 07:00:00+00:00,14182.3247,0.0,0.0,706.5831709953883
2022-09-10 08:00:00+00:00,14032.7523,0.0,0.0,674.2616382548065
2022-09-10 09:00:00+00:00,14113.6517,0.0,0.0,674.9546451911456
2022-09-10 10:00:00+00:00,14453.140899999999,0.0,35.29,523.3472664002808
2022-09-10 11:00:00+00:00,14899.304699999999,3.9900110784689033,394.9,528.7672403945547
2022-09-10 12:00:00+00:00,15523.7844,27.23271796786262,1132.83,541.4284934872746
2022-09-10 13:00:00+00:00,16044.2039,53.55902705079265,1795.44,176.168334528557
2022-09-10 14:00:00+00:00,16608.0309,71.97635215135286,2290.59,69.49209224045589
2022-09-10 15:00:00+00:00,17269.2766,87.1746243557694,2506.64,38.27094909232443
2022-09-10 16:00:00+00:00,17973.978099999997,100.60078354274019,2543.24,39.309165725410175
2022-09-10 17:00:00+00:00,18664.355499999998,103.1635354267745,2440.65,22.888868014808402
2022-09-10 18:00:00+00:00,19266.7415,98.18517832281303,2295.12,12.775911628376754
