site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
wind_323673,11,8,28.7114521,21.005505057595258,30.629752929167832,21.886026933054314,30
wind_323673,11,9,28.8321408,23.40182018361867,30.618728743529466,22.075997755637985,30
wind_323673,11,10,27.057005800000002,22.266483823933303,31.250576002508172,23.345917432425722,30
wind_323673,11,11,28.813363900000002,22.598717213827225,33.34711210061434,22.287126498075125,30
wind_323673,11,12,27.364974733333334,21.224249653948128,34.09376527177592,23.618397313433512,30
wind_323673,11,13,28.345062399999996,22.218388662827415,35.113203918994714,23.738402023573464,30
wind_323673,11,14,28.083906200000005,23.596078542417,31.806134454859826,24.039558112593788,30
wind_323673,11,15,28.850555,25.40920896770332,32.96714224673319,27.306832208306133,30
wind_323673,11,16,29.56825343333333,25.778055862829717,35.565369489100654,28.1790751442089,30
wind_323673,11,17,29.1908475,25.34647307324766,35.62624612954762,28.606300981812772,30
wind_323673,11,18,30.43665793333333,27.743958233512227,34.230941463201944,28.42759768178919,30
wind_323673,11,19,29.849514166666665,27.57492951909423,33.73885258219335,28.861102670621715,30
wind_323673,11,20,27.958719266666666,25.757272243250974,33.22512528400166,28.22797124242624,30
wind_323673,11,21,29.649558833333334,24.965881903051915,35.59121463056254,27.116363551521932,30
wind_323673,11,22,29.4152393,25.22566268575469,35.195689065996376,25.573859135726575,30
wind_323673,11,23,30.834807766666664,23.197249065994185,35.8136201721032,24.408580433921205,30
wind_323673,12,0,30.453246,27.38816569399052,29.969985065607577,26.446497523806645,31
wind_323673,12,1,27.54177651612904,25.457197264821694,27.591703706773263,25.375122327453354,31
wind_323673,12,2,27.43631790322581,26.037845817338543,25.64079361553758,24.298172714331358,31
wind_323673,12,3,25.570445354838714,23.840654199565996,24.6998939943006,23.971605847053322,31
wind_323673,12,4,26.106753032258066,22.12010835082331,25.36109901551211,24.245851780444294,31
wind_323673,12,5,27.634208419354838,22.68214918053931,24.69258927741819,24.524422535789796,31
wind_323673,12,6,26.03949732258064,22.576869632221744,24.53002010302729,24.159129083742283,31
wind_323673,12,7,23.849551774193547,21.774305795774854,25.218022779088717,24.309715306943133,31
wind_323673,12,8,22.435195064516133,21.487136882160296,24.37125743902985,24.613824447332675,31
wind_323673,12,9,19.4586734516129,19.600506640676556,22.099566387730462,23.374978207960364,31
wind_323673,12,10,19.66835248387097,20.40321011013085,21.363385252291497,22.401670927584277,31
wind_323673,12,11,21.245820129032257,19.547120303681556,22.194191357914175,22.125497110649324,31
wind_323673,12,12,19.41037087096774,16.603681221305685,24.070100856124007,22.71943805932689,31
wind_323673,12,13,21.63413129032258,21.36661096507943,25.69444057590959,23.938364229877156,31
wind_323673,12,14,20.23645970967742,21.82511235445149,25.291851829526927,24.69719602261643,31
wind_323673,12,15,17.38897293548387,18.777899056574906,23.806300703526016,24.73101538849873,31
wind_323673,12,16,21.81837629032258,23.550851361588396,25.261750438972353,27.2611665962011,31
wind_323673,12,17,24.193898290322576,26.602281089801863,24.63244104964883,26.509714336382384,31
