site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
wind_323690,11,23,19.992140936906665,19.952744031654234,22.393326012848043,19.118525461933846,30
wind_323690,12,0,23.09400825224239,23.026802352470366,24.854396589497874,22.134262405129263,31
wind_323690,12,1,23.147340926349198,22.104561059877376,25.97765941476482,22.68253980591737,31
wind_323690,12,2,25.584448999613826,22.225887894324657,25.757391842137103,21.65631857021981,31
wind_323690,12,3,24.582619384353215,21.216017005547045,26.573427491205877,21.84283121565392,31
wind_323690,12,4,22.4954751425762,21.075895049110446,24.677171752467817,21.276362913369432,31
wind_323690,12,5,20.956179886199056,20.62095480576192,24.662281944864834,21.72133725368509,31
wind_323690,12,6,20.694417499103356,18.960143388972003,24.150248542497003,21.014281519492677,31
wind_323690,12,7,21.253557541673736,21.091764694555604,23.375257686606254,21.52466312895845,31
wind_323690,12,8,22.60613164499373,22.245720618966793,22.61637313881992,21.832007042129845,31
wind_323690,12,9,20.045869791897903,21.16135791546049,21.914633210999064,21.524238563700393,31
wind_323690,12,10,18.036329927570183,20.62451009419856,22.12160848945013,22.49736530028757,31
wind_323690,12,11,15.765982284381616,19.08283806807683,20.86290541228581,22.01404027443679,31
wind_323690,12,12,16.461979596419447,19.518304825314356,21.109885976631844,21.506733119060613,31
wind_323690,12,13,17.877801301895573,19.351197144909612,21.409458230097847,21.694298287108282,31
wind_323690,12,14,17.745479816660648,20.076982128297008,22.17410723003234,22.55050300314397,31
wind_323690,12,15,19.06482221891037,23.07362001616087,21.478016751970628,22.637692656353426,31
wind_323690,12,16,18.13064870505096,21.453200344863127,22.633670302778974,23.50109082189635,31
wind_323690,12,17,21.00420732395067,22.848755565058404,23.24495050963946,23.360480765684418,31
wind_323690,12,18,19.325669849903147,20.624472419330633,23.219291216146146,22.92364920671412,31
wind_323690,12,19,18.636532953656488,20.935265017259493,22.367390558666038,22.496451776291316,31
wind_323690,12,20,20.38761370170047,20.809346966146947,21.599623828754016,22.123544994406394,31
wind_323690,12,21,22.281169543054595,22.020110876124868,20.466613213263784,21.753975450227863,31
wind_323690,12,22,18.52929505431682,19.617726756941344,20.787981254733182,21.634749887125686,31
wind_323690,12,23,20.841019578052737,21.437622957648028,23.60798680273095,22.417779317359848,31
wind_323693,1,0,4.839005611878789,6.03451846113682,4.514079852016586,5.701028883882328,31
wind_323693,1,1,4.579160432366685,6.033334546644507,5.3184744312068934,6.298977452129765,31
wind_323693,1,2,3.9957827370724703,5.700786600108877,5.215044956538406,6.085570210835141,31
wind_323693,1,3,4.333163131616993,6.104964087865842,4.76727664048065,6.0767886209262985,31
wind_323693,1,4,4.518845509283794,5.9440863525031595,5.0016476720323855,6.279331211145108,31
wind_323693,1,5,4.849411674098737,6.1802901702072015,5.143725182418789,6.102449659779833,31
wind_323693,1,6,4.209120214460687,5.759449014818436,5.194100858457633,6.294798924777474,31
wind_323693,1,7,4.388116203560735,5.7167398563253276,4.779926051071687,5.948380461588598,31
